Region 106 Avg IOU: 0.214918, Class: 0.500843, Obj: 0.345196, No Obj: 0.496332, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.311044, Class: 0.096036, Obj: 0.856715, No Obj: 0.604818, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.127438, Class: 0.158155, Obj: 0.431254, No Obj: 0.497668, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.073767, Class: 0.493085, Obj: 0.265215, No Obj: 0.497342, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.022584, Class: 0.730965, Obj: 0.899006, No Obj: 0.603211, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.107165, Class: 0.421729, Obj: 0.220058, No Obj: 0.497610, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.027739, Class: 0.366150, Obj: 0.732465, No Obj: 0.603537, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.100736, Class: 0.472644, Obj: 0.531505, No Obj: 0.498698, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 106 Avg IOU: 0.134303, Class: 0.321926, Obj: 0.306459, No Obj: 0.499055, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 82 Avg IOU: 0.054371, Class: 0.419719, Obj: 0.528624, No Obj: 0.488367, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.073780, Class: 0.363244, Obj: 0.530957, No Obj: 0.602518, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.170791, Class: 0.261429, Obj: 0.568968, No Obj: 0.497519, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.132252, Class: 0.462470, Obj: 0.494630, No Obj: 0.603262, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.138464, Class: 0.413215, Obj: 0.605547, No Obj: 0.497799, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 94 Avg IOU: 0.006942, Class: 0.026285, Obj: 0.989148, No Obj: 0.605411, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.189052, Class: 0.169705, Obj: 0.701320, No Obj: 0.497893, .5R: 0.000000, .75R: 0.000000,  count: 4
